"ID","Started on","Last updated on","Status","Collector","Language","IP address","Device","{_bhlid}","{trk}","Do you work in a safety-critical industry? (Automotive, aerospace, medical, robotics, etc)","What industry do you work in?","Automotive","Aerospace","Medical","Industrial","Robotics","Defense","Nuclear","Rail","Other","What is the size of the company that you work for?","Approximately how many people actively write Rust at your company?","What is your primary role or responsibility related to software development or safety within your organization?","Software Engineer","Safety Engineer","Quality Assurance Engineer","Cybersecurity Engineer","DevOps/Tooling Engineer","Project Manager","R&D Engineer","Engineering Management","Startup Owner/Founder","C-suite (CEO, CTO, etc)","Other","Can you elaborate on your role?","What language(s) do you use in your safety critical role?","Rust","C","C++","Ada/Spark","Python","Other","Do you currently use Rust?","Yes, in my safety critical role","Yes, in non-safety critical production","Yes, as a hobby/in my free time","No","Would you be interested in using Rust in your safety-critical role?","What were your/your company's primary reasons to switch to Rust?","Memory safety","Speed/performance","Tooling (cargo, crates.io, clippy, etc)","Language features (type system, matching, zero cost abstractions, etc)","Specific library/crate/framework","Hiring advantages (interest in Rust/quality of Rust engineers)","Regulatory requirement","Cybersecurity advantages","Other","What are some of the advantages to Rust in your role?","What are the primary blockers or disadvantages to using Rust in your safety critical role?","Lack of tooling","Standards","Hiring engineers","Hardware support","Ecosystem (libraries, drivers, etc)","Lack of qualified tooling","Regulatory hurdles","Legacy codebase","Training","Other","How do you or would you be interested in using Rust in your safety-critical role?","Starting a new project in Rust","Rewriting an existing project in Rust","Integrating Rust with an existing codebase","Integrating Rust components into an existing system","Using C/C++ Interoperability Layer","Other","What are the primary disadvantages to using Rust in your safety-critical role?","Doesn't offer any/enough advantage over existing languages","Too difficult to learn","Doesn't support my hardware target(s)","Not certifiable","Not enough hirable Rust engineers","Doesn't integrate with existing codebase","Doesn't integrate with existing process/tooling/build system","Software supply chain concern (open-source)","Don't know enough about it","Other","Can you elaborate on the downsides to Rust for your role?","What types of safety critical code tools does your work require?","Certified compiler","Formal verification","Code coverage analysis","Code-requirements traceability","Static analysis","Source code metrics (cyclomatic complexity, lines of code, etc)","Linting tools (naming contenvtions, style guides, etc)","Automated testing (fuzz, prop-based, etc)","Post compilation analysis (worst case execution time, stack size, etc)","Other","Are there ""best-in-class"" libraries or solutions in another language which have features lacking within the Rust ecosystem for your use cases?","Are there any libraries that are not written in Rust that you would like to use in the Rust ecosystem?","Are there any crates in the Rust ecosystem that you would use in safety-critical software if it were certified?","What standard(s) do you work with in your safety critical work?","ISO-26262","DO-178","IEC-61508","IEC-62304","Other","What levels of ISO-26262 do you work with?","QM","ASIL-A","ASIL-B","ASIL-C","ASIL-D","What levels of IEC-61508 do you work with?","SIL-1","SIL-2","SIL-3","SIL-4","What levels of DO-178 do you work with?","DAL A","DAL B","DAL C","DAL D","DAL E","What levels of IEC-62304 do you work with?","Class A","Class B","Class C","What coding guidelines do you work with in your safety critical work?","MISRA (C)","AEC","AUTOSAR (C++)","JSF AV (C++)","CERT (C, C++, Java)","HIC++","CWE","Other","To what environments do you deploy your safety critical code?","Cloud","WebAssembly","Native applications","Embedded Linux","Embedded with a hypervisor (RTOS, event-driven architecture, etc)","Bare metal embedded","Other","What chip architectures do you work with?","ARM Cortex (R or M)","ARM Cortex (A)","Infineon Tricore","x86-x64","PowerPC","Renesas","RISC-V","Other","What kind of support or resources from the Rust community or the Safety-Critical Rust Consortium would be most helpful in enabling Rust adoption in your industry?","What steps would your organization need to take to seriously consider or adopt Rust for safety-critical projects?"
"117035376","05/01/2025 5:08:21 am","05/01/2025 5:35:42 am","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","","","","x","","","","","50 - 249","< 10","","x","","","","","","","","","","","Software engineer working on perception for mobile robots.","","","","x","","x","","","","","x","","Yes, but not I'm not yet using it","","x","x","x","x","x","","","","","C++ is widely used, and Rust would be essentially the better replacement for it from a pure language perspective. I'm using Rust for some hobby open source projects, and some things I love:

- modern syntax with sane defaults vs. C++ (e.g. requiring explicit mut)
- enums + macros (e.g. serde) that are really nice to use (PITA in C++)
- strict compiler + actually useful compiler messages
- great documentation and a set of established standards
- tooling in general
- community","","","","","","x","","","x","","easy interop with existing C++ libraries would be awesome, but I know it's hard...","","x","","x","x","","","","","","","","","","","","","","","","","","","","x","","x","","","","not really, but I'm also not working on strict safety stuff","not safety critical, but for robotics:

Eigen
OpenCV
VTK
Ceres
PCL (or rather an equivalent, because PCL's API is terrible)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","Our hard safety critical stuff runs on a controller that is separate from the high-level software.","","","","","x","","","","","TBH, I think a big hurdle is that many devs haven't used Rust seriously yet to know its advantages. Maybe hearing more about ""success stories"" could help.","Allow developer teams to invest time into training and start with some smaller projects where it could fit. I think it just has to start somewhere."
"116981595","04/30/2025 7:53:36 pm","04/30/2025 7:55:48 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","250 - 1000","20 - 49","","x","","","","","","","","","","","","","","x","x","","","","","","x","x","","Yes, but not I'm not yet using it","","","","","x","","","","","","","","","x","","","x","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116978267","04/30/2025 7:35:15 pm","04/30/2025 7:37:16 pm","Completed","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","10 - 49","< 10","","x","","","","x","","","","","","","","","","x","","","x","","","","","x","","Yes, but not I'm not yet using it","","x","x","x","x","","","","x","","","","","x","","","x","","","","x","","","","","x","x","x","","","","","","","","","","","","","","","x","x","x","x","x","x","x","x","","","","","","","x","","","","","","x","","x","","x","","","","","","","","","","","","","","","","","x","","","","x","","","","","","","","","x","x","","","x","","","","","","","","",""
"116943960","04/30/2025 3:16:57 pm","04/30/2025 3:17:15 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116938658","04/30/2025 2:23:58 pm","04/30/2025 2:27:59 pm","Completed","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","1000 - 10,000","< 10","","x","","","","x","","","","","","","","","","x","","","x","","","","","","x","Yes, but not I'm not yet using it","","","","x","","","","","","","","","","","","","","","","","","we are only providing software libraries to our customers. Our customer do not use Rust.","","","","x","","x","","","","","","","","","","","","","","","x","","x","x","x","x","x","x","x","","","","","","x","","","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","x","","","","","","","","x","","x","","","x","","","","","","x","","",""
"116933469","04/30/2025 1:00:31 pm","04/30/2025 1:01:28 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","x","x","","","","","","","","> 10,000","50 - 200","","","","","","","x","x","x","","","","","","","x","x","","x","","","","","x","","Yes, but not I'm not yet using it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116832691","04/29/2025 4:28:20 am","04/29/2025 4:29:14 am","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","","","","","x","","","","250 - 1000","50 - 200","","x","","","","","","","","","","","","","x","","","","","","","x","x","x","","Yes, I already am","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116818669","04/29/2025 1:38:51 am","04/29/2025 1:42:55 am","Completed","Public Collector","-","-","Mobile","","","Yes","","x","","","","x","","","","","< 10","< 10","","","","","","","","x","","","","","Verification engineer","","","x","x","","x","","","","","","x","Yes, I already am","","x","","x","x","","","","","","","","","x","","","","","","x","","","","","","","x","","","","","","","","","","","","","","","","x","x","x","x","x","x","x","x","x","","","","","","x","","","","","","","","x","x","x","","","","","","","","","","","","","","","","","x","","x","","","","","","","x","","","","x","","","","","x","","","","","","","",""
"116815746","04/28/2025 11:07:44 pm","04/28/2025 11:10:25 pm","Completed","Public Collector","-","-","Mobile","","","Yes","","","","x","","","","","","","10 - 49","< 10","","","","","","","","","x","","","","VP R&D","","","x","","","","","","","","","x","Yes, but not I'm not yet using it","","x","x","x","","x","","","","","","","","","x","","","","","x","x","","","x","x","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","x","x","","","x","","","","","","","","62304 compliance","Framework for 62304"
"116808453","04/28/2025 8:20:27 pm","04/28/2025 8:20:42 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116801473","04/28/2025 6:49:20 pm","04/28/2025 7:06:02 pm","Completed","Public Collector","-","-","Mobile","","","Yes","","","x","","","x","","","","","50 - 249","< 10","","","","","","","","x","","","","Roboticist","Writing algorithms for motion planning, control, state estimation and perception for robots","","","","x","","x","","","","","x","","Yes, but not I'm not yet using it","","","x","x","x","","","","","","Control and performance of C++ with better guarantees and less legacy problems, better build systems","","","","","x","x","","","x","x","","","x","x","","","x","","","","","","","","","","","","","","","","","","","x","","","x","","","ROS library support
Numerical libraries for optimisation, dynamics, etc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","x","","x","","","","","""Safety critical"" features aren't necessarily the most missing features in my industries, it's a numerical ecosystem that's holding back complex cyberphysical applications. Numerical libraries need to be highly robust and mature, and are mostly written by PhDs in the topics. Robotics people rely on those tools and can't necessarily implement them themselves to a robust level.","1) Reduce scope for Rust to non robotics software infrastructure, or low robotics oriented usecases that don't require the numerical ecosystem

2) Come up with a reasonable way of interfacing between existing ROS system and Rust that is mature and stable (ideally Rust should be write once and forget for a while)

3) Justify to the team why Rust's features are better and worth investing in than just writing C++ more carefully. Also a maintenance plan to ensure that the module is maintainable with low language ability and doesn't break with Rust changes"
"116792909","04/28/2025 4:08:00 pm","04/28/2025 4:09:10 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","x","","1000 - 10,000","10 - 19","","","","","","","","","","","","Product Manager","","","","x","x","x","","","","","x","","","Yes, but not I'm not yet using it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116787990","04/28/2025 2:46:17 pm","04/28/2025 2:49:59 pm","Completed","Public Collector","-","-","Desktop","","","Yes","","","","","","x","","","","","10 - 49","< 10","","x","","","","","","","x","","","","","","","","x","","x","","","","x","","","Not Sure Yet","","","","","","","","","","Just testing the waters, some devs liked it","","","x","x","","","","x","","x","x","","","","","","","","","","","","","","","","","","","","","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","x","","","x","","","","","",""
"116786361","04/28/2025 2:09:04 pm","04/28/2025 2:10:28 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","> 10,000","> 200
","","","","","","","","x","","","","Senior engineer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116783396","04/28/2025 1:10:44 pm","04/28/2025 1:12:11 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","","","","x","x","","","","","10 - 49","< 10","","x","","","","","","x","x","","","","","","","x","x","","x","","","","","","x","Yes, but not I'm not yet using it","","x","x","","","","","","","","","","","","x","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116709637","04/28/2025 4:38:33 am","04/28/2025 4:39:36 am","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","1000 - 10,000","10 - 19","","","","","","","","","","","","SW Architect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116703444","04/28/2025 3:06:14 am","04/28/2025 3:10:33 am","Completed","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","> 10,000","20 - 49","","x","","","","","","","","","","","ADAS/AD SW engineer","","x","","x","","","","","x","","","","Yes, I already am","","x","","","x","","","","","","Asynchronous programming with Rust.","","","","x","","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","x","","","","","","x","","x","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","x","","","","","","","","","","","","",""
"116699865","04/28/2025 1:39:09 am","04/28/2025 1:46:32 am","Completed","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","1000 - 10,000","50 - 200","","x","","","","","","","","","","","","","x","","","","","","","x","x","","","Yes, I already am","","x","","","x","","","","","","","","x","","","","x","x","x","","x","","","x","","x","x","","","","","","","","","","","","","","","","x","","x","x","x","x","x","x","x","","in general: code coverage measurements for embedded.","in general: code coverage measurements for embedded.","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","x","","","","","","","",""
"116578080","04/27/2025 10:27:40 am","04/27/2025 10:31:11 am","Completed","Public Collector","-","-","Mobile","","","Yes","","","","","x","","","","x","","250 - 1000","< 10","","x","","","","","","x","","","","","","","","x","","","x","","","","","","x","Yes, but not I'm not yet using it","","x","","","x","","","","x","","","","","","","","","","","","x","","","x","x","","","","","","","","","","","","","","","","","","x","x","x","","x","x","x","","x","","","","","","","","x","","","","","","","","","","x","x","","","","","","","","","","","","","","x","","","","","","","","","","","x","","","x","","","x","","","x","","","","","",""
"116535486","04/27/2025 4:52:34 am","04/27/2025 4:55:40 am","Completed","Public Collector","-","-","Mobile","","","Yes","","","","","","","x","","","","< 10","< 10","","x","","x","","x","","","","","","","","","x","","","","","","","x","","","","Yes, I already am","","x","x","x","x","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","x","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","x","","","","","",""
"116436422","04/26/2025 1:41:21 pm","04/26/2025 1:43:09 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","> 10,000","20 - 49","","","","","x","","","","","","","","","","","x","x","","","","","","","","x","Yes, I already am","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116436209","04/26/2025 1:31:17 pm","04/26/2025 1:32:48 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","> 10,000","50 - 200","","x","","","","","","","","","","","","","","x","x","","","","","x","","","","Yes, I already am","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116436176","04/26/2025 1:29:49 pm","04/26/2025 1:32:44 pm","Completed","Public Collector","-","-","Mobile","","","Yes","","","x","","","","x","","","","10 - 49","< 10","","x","","","","","","","x","","","","","","x","","","","","","","x","","","","Yes, I already am","","x","x","x","x","","","","","","","","","","","","","x","x","","","","","x","","","x","","","","","","","","","","","","","","","","x","","x","x","","","x","x","","","","","","","","x","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","","","","","","","","","","x","x","","x","","","x","x","","x","","","","","",""
"116434798","04/26/2025 12:17:23 pm","04/26/2025 12:22:46 pm","Completed","Public Collector","-","-","Mobile","","","Yes","","","x","","","","","","","","250 - 1000","< 10","","x","","","","","x","","x","","","","","","","x","","","","","","","","x","","Yes, but not I'm not yet using it","","x","","","x","","","","","","","","","x","","","","x","x","","","","","x","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","","x","","","","","","","","","","","","","","","","","x","x","","","","","","","","x","","","","","","","","","","","","","","x","","","x","","","","x","","","","No dependencies in any external libraries, or an affordable, certified Standard lib.","Trainings
Adjusting processes"
"116418476","04/26/2025 3:12:33 am","04/26/2025 3:21:55 am","Completed","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","> 10,000","10 - 19","","x","","","","","","","","","","","Staff Engineer","","","x","x","","x","","","","","x","","Yes, but not I'm not yet using it","","x","x","x","x","","","","x","","","","x","x","","","","","","x","x","","","","","x","x","","","","","","","","","","","","","","","","x","","x","x","x","x","x","x","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","x","","x","","x","x","x","","","","","","x","x","","","","x","","x","","","","","","Improved support on non-cargo build systems (e.g. Bazel) for mixed language builds. Development of industry-wide coding guidelines for safety critical applications. Development of tools to support those coding guidelines and ISO 26262 activities.","Training and establish processes related to Rust code quality"
"116417290","04/26/2025 2:33:57 am","04/26/2025 2:45:02 am","Completed","Public Collector","-","-","Mobile","b173b957f5d11a8ab84b7815fbbefbd6198812c1","","Yes","","","","","","","","","","Underground mining","10 - 49","< 10","","x","","","","x","","","x","","x","","","","x","","","","","","","x","x","x","","Yes, I already am","","x","x","x","x","x","x","","","","","","x","","x","","x","","","","","","","x","","","","","","","","","","","","","","","","","","","x","x","x","x","","","","x","x","","Not really from what we've found","KLEE symbolic execution/verification","RTIC, heapless, serde, postcard, all of cortex-m","","","","x","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","Still under investigation","","","","","","","x","","","x","x","","x","","","","","Understanding how to leverage Rust to make processes simpler and faster, right now we have to figure it out ourselves","We have already done it, the project has officially committed to Rust, we're working with Ferrocene as tooling supplier and are transitioning into safety critical software development är the end of this year"
"116416003","04/26/2025 1:10:53 am","04/26/2025 1:12:12 am","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","> 10,000","< 10","","x","","","","","","x","","","","","","","","x","","","","","","","","","x","Yes, I already am","","x","x","","","","","","","","","","x","x","","","x","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116414915","04/25/2025 11:12:44 pm","04/25/2025 11:17:37 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","","","","","","","","Semiconductor","1000 - 10,000","50 - 200","","","","","","","","x","","","","","","","","x","","","","","","","x","x","","Yes, but not I'm not yet using it","","x","x","x","x","","","","","","","","","","","x","x","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116413676","04/25/2025 8:30:35 pm","04/25/2025 8:34:08 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","","","","","","x","","","","250 - 1000","< 10","","x","","","","","","","","","","","","","","","x","","","","","","","x","","Yes, but not I'm not yet using it","","x","","x","x","","","","","","","","","x","","x","x","","x","","","","","x","x","x","x","x","","","","","","","","","","","","","","","x","","x","","x","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116411120","04/25/2025 5:09:54 pm","04/25/2025 5:15:35 pm","Completed","Public Collector","-","-","Mobile","","","Yes","","","","","","","","","x","","> 10,000","> 200
","","x","","","","","","x","","","","","","","","x","x","","","","","","x","x","","Yes, I already am","","x","x","x","x","","","","","","","","x","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","x","x","","x","","","","","","","","","","","","IEC-50128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","x","x","","x","","","","","",""
"116409087","04/25/2025 3:49:10 pm","04/25/2025 3:50:14 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","No","","","","","","","","","","Other","10 - 49","20 - 49","","x","","","","","","","","","","","","","x","","","","","","","x","","","","Yes, I already am","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116408011","04/25/2025 3:12:48 pm","04/25/2025 4:02:01 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","x","","","x","","","","","","10 - 49","20 - 49","","x","","","","","","","","","","","","","x","","","","","","","x","x","","","Yes, I already am","","x","x","x","x","","","","x","","","","","x","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","x","x","","x","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116407383","04/25/2025 2:51:39 pm","04/25/2025 2:58:37 pm","Completed","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","> 10,000","< 10","","x","","","","","","","x","","","","","","","x","x","","","","","","","x","","Yes, I already am","","","","","","","","","","nobody dares trying, yet.","","","","x","","x","x","","","x","","","","x","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","","x","","","","","","","x","","","","","","x","","x","","","","","","","","","","","","","","","","","","","x","","","","x","","","","","","","","x","x","","","","x","x","","","","","","","More advocacy resources to convince customers (OEM) to switch?","I wish I knew that. :("
"116404308","04/25/2025 1:18:42 pm","04/25/2025 1:20:28 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","x","","","","x","","","","50 - 249","< 10","","x","","","","","","","","","","","","","","x","","","","","","","","","x","Yes, but not I'm not yet using it","","x","","","x","","","","x","","","","","","","","","x","x","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116392978","04/25/2025 9:03:46 am","04/25/2025 9:05:14 am","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","250 - 1000","","","x","","","","","","","","","","","","","","x","","","","","","","","","x","Not Sure Yet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116391025","04/25/2025 8:26:03 am","04/25/2025 8:28:46 am","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","","","","","","","","x","","> 10,000","20 - 49","","","","","","","","x","","","","","","","","x","x","","","","","","x","x","","Yes, but not I'm not yet using it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116389001","04/25/2025 7:46:03 am","04/25/2025 7:49:00 am","Completed","Public Collector","-","-","Desktop","b173b957f5d11a8ab84b7815fbbefbd6198812c1","","No","","","","","x","","x","","","","250 - 1000","10 - 19","","x","","","","","","","","","","","Just a medior software engineer. Have used Rust for Embedded Systems.","","x","x","","","","","","","x","","","Yes, but not I'm not yet using it","","","","","","","","","x","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116387554","04/25/2025 7:21:01 am","04/25/2025 7:23:45 am","Completed","Public Collector","-","-","Mobile","b173b957f5d11a8ab84b7815fbbefbd6198812c1","","Yes","","x","x","","","","","","","","50 - 249","< 10","","","","","","","x","","x","","","","","","","x","","","","","","","","x","","Yes, but not I'm not yet using it","","x","x","","","","","","","","","","","","","","","","","x","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","x","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","x","x","","x","","","x","x","","","","","x","","",""
"116384107","04/25/2025 6:15:46 am","04/25/2025 6:23:20 am","Completed","Public Collector","-","-","Desktop","","","Yes","","","","","x","x","","","","","< 10","< 10","","x","","","","","","","","","","","I'm the primary developer of EtherCrab, a Rust implementation of the EtherCAT fieldbus protocol. I've done some consulting to help people implement it into their systems. Sorry to taint your data, but I feel it's important to give my perspective, even though I don't fit into the company/organisation role I think you're surveying for.","","x","","","","","","","x","x","x","","Yes, I already am","","x","x","x","x","","","","","","For development, all the ergonomics of the language and tooling. For the end application, performance and explicit thread safety. Existing C EtherCAT implementations just kinda go ""yeah it's thread safe, trust me bro"" in their docs. Having this explicitly guaranteed by the Rust compiler lets application developers go crazy and make better software with fewer wait points for overly cautious mutex guards, etc.","","","","","","","x","x","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","CGAL (unrelated to my industrial-focused response in this survey, but I do a lot of geometry in my day job which CGAL would be useful for)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","x","x","","x","","","","","",""
"116383839","04/25/2025 6:11:12 am","04/25/2025 6:12:37 am","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","","","x","","","","","","10 - 49","< 10","","","x","","","","","","","","","","","","","","x","","","","","","","x","","Yes, but not I'm not yet using it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116373457","04/25/2025 2:51:10 am","04/25/2025 2:55:40 am","Completed","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","Semiconductor","> 10,000","20 - 49","","","","","","x","","","","","","","","","x","x","","","","","","","x","x","","Yes, I already am","","x","","x","","","","","x","","","","x","","","","","","","x","x","","","x","","","","x","","","","","","","","","","","","","","","x","","x","x","x","x","x","x","","","","","","","x","","x","","","","","","","","x","","","","x","","","","","","","","","","","","","x","","x","","x","","","","","","","","","x","x","","","x","","x","","","","x","","","Customer demand"
"116371142","04/25/2025 1:35:40 am","04/25/2025 1:47:28 am","Completed","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","Agriculture","> 10,000","< 10","","","","","","","","x","","","","","","","","","x","","","","","","","","x","Yes, but not I'm not yet using it","","","x","x","x","","","","","","","","","","","x","x","","","x","","","","x","","x","x","x","","","","","","","","","","","","","","","x","","x","x","x","x","x","","x","","","Qualcomm fastADAS, SOME/IP, CAN","","","","","","","ISO-25119","","","","","","","","","","","","","","","","","","","","","","","x","","","","x","","","","","","","","x","x","","","","","x","","","","","","","BSP Support, QNX Support",""
